country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2022-01-01,-43,-33,-26,-41,-44,12
US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2022-01-02,-20,-12,-26,-22,-17,7
US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2022-01-03,-14,-1,-24,-32,-38,13
US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2022-01-04,-14,1,-19,-30,-30,11
US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2022-01-05,-16,0,-19,-32,-28,10
US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2022-01-06,-19,-2,-19,-33,-30,11
US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2022-01-07,-24,-12,-28,-37,-31,13
US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2022-01-08,-19,-6,-20,-30,-12,7
US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2022-01-09,-21,-11,-26,-31,-14,7
US,United States,Alabama,,,US-AL,,ChIJdf5LHzR_hogR6czIUzU0VV4,2022-04-25,-4,7,52,10,-13,3
US,United States,Alabama,Autauga County,,,1001,ChIJg9z7ewWPjogRA_8QrB0va7o,2022-06-19,-10,12,,,9,1
US,United States,Alabama,Barbour County,,,1005,ChIJtUJfgR1tjYgRAjFO7yq2nuI,2022-04-16,5,,,,-10,
US,United States,Alabama,Bibb County,,,1007,ChIJEdvIA8szj4gRU_XpIL_1cSw,2022-02-18,,18,,,7,
US,United States,Alabama,Blount County,,,1009,ChIJdcUJhYeXiYgRERpotPlZFfs,2022-03-04,16,3,,,-14,4
